game_id,role,kill,death,assist,gold_earned,champion_level,total_damage_dealt,total_damage_dealt_to_champions,vision_score,minion_kill,laning_score,is_win,rift_herald_kill,rift_herald_first,dragon_kill,dragon_first,baron_kill,baron_first,tower_kill,horde_kill
0.0,my_top,5.0,5.0,12.0,12666.0,17.0,199661.0,38439.0,21.0,181.0,5.364804946287874,,,,,,,,,
0.0,my_jungle,2.0,4.0,4.0,14072.0,17.0,329327.0,7355.0,31.0,65.0,5.257719584789998,,,,,,,,,
0.0,my_mid,6.0,8.0,13.0,13334.0,17.0,198326.0,31908.0,15.0,225.0,5.0580139866606855,,,,,,,,,
0.0,my_adc,16.0,9.0,5.0,16681.0,16.0,224340.0,36159.0,16.0,186.0,4.941986013339315,,,,,,,,,
0.0,my_support,4.0,5.0,9.0,9402.0,14.0,26113.0,8915.0,33.0,23.0,4.370815110382172,,,,,,,,,
0.0,enemy_top,1.0,8.0,3.0,8139.0,13.0,63221.0,3945.0,15.0,88.0,4.223689824945034,,,,,,,,,
0.0,enemy_jungle,2.0,5.0,7.0,11187.0,17.0,270096.0,13736.0,16.0,44.0,4.567964284011773,,,,,,,,,
0.0,enemy_mid,17.0,6.0,2.0,15100.0,16.0,146736.0,28477.0,20.0,142.0,5.616192893400028,,,,,,,,,
0.0,enemy_adc,7.0,6.0,7.0,15694.0,17.0,196658.0,37185.0,14.0,231.0,4.564303589863804,,,,,,,,,
0.0,enemy_support,4.0,8.0,11.0,10167.0,15.0,75696.0,32180.0,45.0,62.0,5.129624848554211,,,,,,,,,
0.0,my_team,,,,66155,,,,,,,True,1,True,3,True,0,False,10,1
0.0,enemy_team,,,,60287,,,,,,,False,0,False,2,False,1,True,4,5
1.0,my_top,1.0,10.0,2.0,7511.0,13.0,101133.0,8784.0,1.0,122.0,3.784074166771305,,,,,,,,,
1.0,my_jungle,5.0,2.0,6.0,8923.0,13.0,141290.0,10236.0,8.0,41.0,5.924653325321727,,,,,,,,,
1.0,my_mid,4.0,10.0,5.0,7031.0,12.0,81702.0,15768.0,15.0,85.0,3.504212549865188,,,,,,,,,
1.0,my_adc,5.0,8.0,4.0,10399.0,13.0,124247.0,13954.0,14.0,150.0,4.999738587563006,,,,,,,,,
1.0,my_support,5.0,3.0,7.0,8732.0,13.0,76848.0,14757.0,33.0,71.0,5.000261412436994,,,,,,,,,
1.0,enemy_top,12.0,5.0,3.0,14032.0,15.0,155147.0,23303.0,25.0,154.0,5.9023374044344745,,,,,,,,,
1.0,enemy_jungle,6.0,1.0,7.0,10567.0,13.0,174826.0,15802.0,10.0,33.0,5.314081702262223,,,,,,,,,
1.0,enemy_mid,6.0,5.0,7.0,8989.0,14.0,103459.0,24258.0,20.0,112.0,5.249148822552798,,,,,,,,,
1.0,enemy_adc,6.0,5.0,7.0,10631.0,13.0,106352.0,19203.0,16.0,120.0,3.987515213650561,,,,,,,,,
1.0,enemy_support,3.0,4.0,5.0,7969.0,12.0,44284.0,11715.0,41.0,32.0,4.976753860693694,,,,,,,,,
1.0,my_team,,,,42596,,,,,,,False,0,False,3,True,0,False,2,0
1.0,enemy_team,,,,52188,,,,,,,True,1,True,1,False,1,True,11,3
2.0,my_top,1.0,6.0,11.0,7511.0,14.0,68745.0,17152.0,10.0,136.0,4.865064689590371,,,,,,,,,
2.0,my_jungle,10.0,8.0,7.0,11518.0,13.0,149517.0,16932.0,17.0,25.0,5.134935310409629,,,,,,,,,
2.0,my_mid,5.0,8.0,10.0,9015.0,14.0,110304.0,21662.0,12.0,134.0,5.242139490882285,,,,,,,,,
2.0,my_adc,9.0,12.0,6.0,8618.0,11.0,42031.0,19414.0,5.0,63.0,4.535343525390182,,,,,,,,,
2.0,my_support,1.0,8.0,15.0,6865.0,13.0,38976.0,9137.0,33.0,46.0,4.711913893267004,,,,,,,,,
2.0,enemy_top,3.0,5.0,9.0,8938.0,14.0,123169.0,25633.0,14.0,133.0,4.76640025229315,,,,,,,,,
2.0,enemy_jungle,5.0,8.0,9.0,9842.0,14.0,159256.0,11964.0,19.0,10.0,3.678264509562567,,,,,,,,,
2.0,enemy_mid,9.0,5.0,15.0,13479.0,15.0,148567.0,21883.0,10.0,178.0,6.08769819419752,,,,,,,,,
2.0,enemy_adc,16.0,3.0,16.0,14694.0,13.0,118042.0,31264.0,15.0,101.0,7.704349021499937,,,,,,,,,
2.0,enemy_support,9.0,5.0,16.0,10854.0,12.0,49647.0,20749.0,33.0,46.0,6.620928697877875,,,,,,,,,
2.0,my_team,,,,43527,,,,,,,False,0,False,0,False,0,False,0,3
2.0,enemy_team,,,,57807,,,,,,,True,1,True,4,True,0,False,11,3
3.0,my_top,8.0,3.0,8.0,9811.0,15.0,88503.0,18358.0,4.0,139.0,6.986522033414508,,,,,,,,,
3.0,my_jungle,6.0,0.0,2.0,9458.0,13.0,211622.0,10251.0,23.0,12.0,6.229286403465085,,,,,,,,,
3.0,my_mid,1.0,4.0,4.0,6944.0,13.0,85260.0,13040.0,22.0,120.0,4.761755766269948,,,,,,,,,
3.0,my_adc,8.0,0.0,4.0,10025.0,13.0,110588.0,15749.0,4.0,151.0,6.904900568088097,,,,,,,,,
3.0,my_support,1.0,0.0,12.0,7498.0,12.0,49824.0,10889.0,44.0,34.0,7.081063193976862,,,,,,,,,
3.0,enemy_top,3.0,8.0,0.0,9893.0,14.0,130512.0,21851.0,22.0,181.0,4.952276147124338,,,,,,,,,
3.0,enemy_jungle,3.0,7.0,0.0,7487.0,11.0,129737.0,7718.0,15.0,3.0,3.730166456643263,,,,,,,,,
3.0,enemy_mid,0.0,4.0,4.0,6184.0,13.0,74981.0,6757.0,11.0,97.0,5.047723852875662,,,,,,,,,
3.0,enemy_adc,0.0,4.0,3.0,6473.0,11.0,79060.0,12576.0,14.0,125.0,3.472670999922458,,,,,,,,,
3.0,enemy_support,1.0,1.0,1.0,5035.0,10.0,9918.0,2820.0,15.0,21.0,4.396907454426477,,,,,,,,,
3.0,my_team,,,,43736,,,,,,,True,0,False,4,True,1,True,3,3
3.0,enemy_team,,,,35072,,,,,,,False,1,True,0,False,0,False,2,0
4.0,my_top,4.0,2.0,4.0,12936.0,18.0,201040.0,23767.0,7.0,236.0,6.186899049703967,,,,,,,,,
4.0,my_jungle,9.0,1.0,4.0,14315.0,17.0,300777.0,18050.0,25.0,26.0,5.137700319908727,,,,,,,,,
4.0,my_mid,7.0,3.0,3.0,14784.0,18.0,213766.0,23948.0,29.0,238.0,4.619483281664756,,,,,,,,,
4.0,my_adc,4.0,8.0,5.0,11511.0,15.0,151878.0,7785.0,21.0,159.0,4.402785724469044,,,,,,,,,
4.0,my_support,2.0,9.0,11.0,10310.0,15.0,85114.0,12769.0,52.0,76.0,4.910803803137054,,,,,,,,,
4.0,enemy_top,2.0,7.0,1.0,10512.0,17.0,193490.0,9576.0,24.0,189.0,3.3608471637991095,,,,,,,,,
4.0,enemy_jungle,2.0,4.0,3.0,9339.0,13.0,186148.0,7582.0,18.0,12.0,5.089196196862947,,,,,,,,,
4.0,enemy_mid,4.0,4.0,2.0,13184.0,17.0,228117.0,14198.0,29.0,259.0,4.5811985754176625,,,,,,,,,
4.0,enemy_adc,11.0,9.0,6.0,12723.0,15.0,164278.0,29476.0,20.0,160.0,6.331641666704977,,,,,,,,,
4.0,enemy_support,4.0,2.0,10.0,10634.0,15.0,95461.0,15172.0,113.0,80.0,6.072757519628094,,,,,,,,,
4.0,my_team,,,,63856,,,,,,,True,1,True,2,True,1,True,8,3
4.0,enemy_team,,,,56392,,,,,,,False,0,False,3,False,0,False,3,3
5.0,my_top,1.0,4.0,5.0,7655.0,15.0,104860.0,8696.0,33.0,110.0,3.2485007618310946,,,,,,,,,
5.0,my_jungle,6.0,2.0,7.0,11155.0,14.0,213123.0,12384.0,25.0,9.0,5.757910198933351,,,,,,,,,
5.0,my_mid,7.0,2.0,4.0,10443.0,15.0,117298.0,12179.0,6.0,182.0,5.427788770365432,,,,,,,,,
5.0,my_adc,9.0,5.0,7.0,13377.0,13.0,172488.0,23350.0,6.0,231.0,6.92391941361614,,,,,,,,,
5.0,my_support,2.0,1.0,16.0,7952.0,14.0,19423.0,11730.0,34.0,12.0,7.067884514229878,,,,,,,,,
5.0,enemy_top,6.0,3.0,0.0,10549.0,16.0,139456.0,21785.0,7.0,185.0,5.328548101285709,,,,,,,,,
5.0,enemy_jungle,5.0,7.0,3.0,10791.0,14.0,246262.0,17029.0,17.0,9.0,4.67145189871429,,,,,,,,,
5.0,enemy_mid,2.0,3.0,1.0,9284.0,14.0,105197.0,8726.0,13.0,168.0,4.245623555758016,,,,,,,,,
5.0,enemy_adc,0.0,7.0,3.0,8124.0,12.0,102788.0,8242.0,11.0,175.0,3.122010888285471,,,,,,,,,
5.0,enemy_support,1.0,5.0,3.0,6356.0,11.0,23169.0,5592.0,18.0,37.0,3.1291921248697045,,,,,,,,,
5.0,my_team,,,,50582,,,,,,,True,1,True,2,True,1,True,3,0
5.0,enemy_team,,,,45104,,,,,,,False,0,False,1,False,0,False,4,6
6.0,my_top,4.0,5.0,1.0,8206.0,14.0,109773.0,21379.0,8.0,146.0,5.187125447915505,,,,,,,,,
6.0,my_jungle,9.0,4.0,0.0,10020.0,13.0,159351.0,19177.0,15.0,25.0,6.771343958721805,,,,,,,,,
6.0,my_mid,2.0,7.0,2.0,5778.0,12.0,53179.0,8629.0,10.0,83.0,4.1278516254794395,,,,,,,,,
6.0,my_adc,0.0,6.0,4.0,5612.0,10.0,59952.0,9777.0,10.0,102.0,4.571571921733558,,,,,,,,,
6.0,my_support,1.0,5.0,2.0,5628.0,10.0,26225.0,11556.0,15.0,35.0,4.416648871288934,,,,,,,,,
6.0,enemy_top,4.0,4.0,1.0,9382.0,14.0,121528.0,17379.0,4.0,149.0,4.776586855671079,,,,,,,,,
6.0,enemy_jungle,2.0,4.0,2.0,8035.0,12.0,169835.0,5209.0,10.0,1.0,4.812874552084495,,,,,,,,,
